INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (42, 10709, 3720, 12, 6136, 4.8, 1.2, 2.25, 'Estadual', 'Universidade de São Paulo', 'Universidade', 31.29, 3.89, 18.0, 3.96, 'SP');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (53, 19252, 3170, 5, 9083, 2.19, 4.56, 3.14, 'Federal', 'Universidade Federal do Estado do Rio de Janeiro', 'Universidade', 23.77, 1.77, 5.39, 2.31, 'RJ');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (120, 14475, 3124, 15, 16868, 4.63, 2.88, 2.77, 'Privada', 'Universidade Católica de Brasília', 'Escola de Governo', 11.01, 2.85, 13.52, 3.61, 'DF');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (189, 11686, 3736, 12, 14518, 4.84, 4.23, 3.58, 'Federal', 'Universidade Federal de Alfenas', 'Institutos Federais', 22.25, 2.15, 4.02, 2.26, 'MG');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (170, 14279, 3654, 2, 23122, 4.64, 3.33, 4.81, 'Privada', 'Universidade de Passo Fundo', 'Centro Universitário', 17.68, 1.8, 10.14, 2.61, 'RS');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (181, 14633, 3132, 13, 11562, 4.08, 1.18, 4.47, 'Privada', 'Universidade Positivo', 'Faculdade', 20.91, 2.37, 14.44, 2.86, 'PR');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (5, 16753, 3967, 14, 9538, 4.74, 4.87, 3.91, 'Privada', 'Universidade Nove de Julho', 'Centro Universitário', 19.17, 0.59, 15.53, 1.91, 'SP');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (200, 13999, 3578, 10, 15355, 4.84, 1.42, 4.62, 'Privada', 'Universidade Tiradentes', 'Escola de Governo', 16.71, 2.48, 13.52, 2.82, 'SE');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (10, 19231, 3478, 10, 20341, 1.71, 2.33, 4.48, 'Privada', 'Universidade Católica Dom Bosco', 'Escola de Governo', 10.93, 1.71, 13.52, 3.32, 'MS');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (56, 16946, 3658, 4, 17779, 3.48, 2.23, 4.25, 'Federal', 'Fundação Universidade Federal da Grande Dourados', 'Escola de Governo', 20.85, 1.76, 4.02, 1.8, 'MS');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (164, 11483, 3805, 15, 28811, 4.17, 2.0, 1.78, 'Municipal', 'Universidade Regional de Blumenau', 'Universidade', 15.59, 2.8, 12.15, 1.86, 'SC');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (138, 12172, 3970, 11, 15660, 2.85, 2.23, 2.99, 'Privada', 'Universidade de Ribeirão Preto', 'Faculdade', 20.46, 2.29, 11.42, 2.62, 'SP');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (188, 18822, 3258, 8, 9541, 3.17, 1.0, 3.35, 'Privada', 'Universidade Luterana do Brasil', 'Universidade', 15.79, 2.1, 11.42, 2.26, 'RS');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (133, 13024, 3344, 9, 26461, 3.63, 4.56, 3.57, 'Privada', 'Universidade Paulista', 'Centro Universitário', 19.18, 0.96, 17.91, 1.75, 'SP');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (14, 14760, 3832, 16, 27122, 2.34, 1.46, 4.07, 'Privada', 'Universidade do Extremo Sul Catarinense', 'Centro Universitário', 14.42, 1.5, 10.14, 3.11, 'SC');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (77, 12533, 3205, 20, 29087, 1.94, 4.29, 4.55, 'Estadual', 'Universidade do Estado da Bahia', 'Universidade', 20.3, 1.17, 15.53, 0.76, 'BA');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (196, 18440, 3829, 10, 28648, 2.2, 1.86, 1.38, 'Privada', 'Universidade do Sul de Santa Catarina', 'Faculdade', 14.49, 1.56, 12.15, 2.69, 'SC');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (22, 11100, 3418, 12, 18541, 1.49, 3.7, 4.57, 'Estadual', 'Universidade Estadual de Montes Claros', 'Institutos Federais', 14.79, 1.19, 8.59, 2.11, 'MG');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (194, 11110, 3596, 17, 12017, 4.82, 3.81, 3.55, 'Privada', 'Universidade do Vale do Itajaí', 'Escola de Governo', 20.88, 1.1, 12.15, 1.62, 'SC');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (151, 17375, 3709, 6, 9045, 2.64, 2.18, 2.02, 'Federal', 'Fundação Universidade Federal do Vale do São Francisco', 'Escola de Governo', 16.52, 2.23, 7.13, 1.68, 'PE');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (7, 16535, 3037, 9, 26250, 1.4, 4.87, 4.17, 'Privada', 'Universidade de Sorocaba', 'Faculdade', 14.69, 2.76, 10.14, 3.33, 'SP');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (172, 18297, 3457, 6, 22038, 2.95, 4.09, 4.07, 'Privada', 'Universidade Estácio de Sá', 'Centro Universitário', 18.03, 1.41, 16.63, 1.29, 'RJ');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (87, 13603, 3864, 20, 6983, 2.65, 4.4, 3.07, 'Federal', 'Universidade Federal Rural do Semi-árido', 'Faculdade', 21.72, 1.37, 2.74, 1.13, 'RN');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (199, 12079, 3618, 17, 12596, 3.28, 4.19, 2.18, 'Privada', 'Universidade do Oeste Paulista', 'Faculdade', 20.21, 0.97, 10.14, 1.55, 'SP');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (185, 17373, 3289, 4, 25595, 3.23, 4.93, 3.83, 'Estadual', 'Universidade Estadual do Centro Oeste', 'Escola de Governo', 21.55, 3.06, 7.13, 0.94, 'PR');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (6, 17845, 3602, 8, 17456, 4.42, 3.84, 3.36, 'Estadual', 'Universidade do Estado do Amazonas', 'Centro Universitário', 12.6, 2.0, 11.42, 2.75, 'AM');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (45, 16465, 3447, 8, 17597, 2.84, 3.57, 3.99, 'Privada', 'Universidade de Franca', 'Universidade', 15.3, 0.71, 13.52, 1.74, 'SP');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (36, 15793, 3180, 3, 11992, 1.01, 1.57, 1.53, 'Privada', 'Universidade Católica de Pernambuco', 'Escola de Governo', 18.45, 0.64, 14.89, 1.2, 'PE');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (152, 13229, 3318, 17, 11577, 3.95, 1.26, 2.03, 'Federal', 'Fundação Universidade Federal do Pampa', 'Escola de Governo', 19.56, 1.82, 2.74, 2.07, 'RS');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (137, 19195, 3062, 19, 11178, 4.6, 3.19, 2.02, 'Privada', 'Universidade Feevale', 'Escola de Governo', 16.58, 1.33, 11.42, 1.2, 'RS');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (129, 17305, 3845, 16, 8645, 3.62, 2.66, 1.62, 'Privada', 'Universidade Católica de Pelotas', 'Universidade', 14.22, 0.21, 5.39, 3.52, 'RS');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (39, 16017, 3101, 3, 16529, 2.87, 4.72, 4.01, 'Estadual', 'Universidade Estadual do Sudoeste da Bahia', 'Escola de Governo', 15.14, 2.0, 8.59, 1.75, 'BA');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (128, 10756, 3801, 15, 26285, 2.61, 4.18, 1.47, 'Federal', 'Universidade Federal dos Vales do Jequitinhonha e Mucuri', 'Universidade', 16.06, 2.67, 2.74, 1.96, 'MG');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (104, 17276, 3174, 4, 10492, 3.04, 2.93, 1.57, 'Privada', 'Universidade Vila Velha', 'Institutos Federais', 12.5, 1.84, 11.42, 2.61, 'ES');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (127, 18017, 3414, 17, 23392, 1.37, 1.62, 1.68, 'Privada', 'Universidade Metodista de Piracicaba', 'Escola de Governo', 15.6, 0.16, 12.15, 2.5, 'SP');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (33, 19579, 3864, 17, 13011, 4.02, 1.31, 4.93, 'Federal', 'Fundação Universidade Federal de Rondônia', 'Faculdade', 19.48, 1.99, 8.59, 1.41, 'RO');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (8, 15971, 3399, 10, 16844, 4.13, 3.55, 2.83, 'Privada', 'Universidade do Grande Rio Professor José de Souza Herdy', 'Institutos Federais', 14.6, 1.23, 11.42, 2.49, 'RJ');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (60, 15567, 3227, 15, 27971, 4.17, 4.43, 1.12, 'Federal', 'Fundação Universidade Federal do Tocantins', 'Escola de Governo', 14.83, 2.13, 8.59, 1.12, 'TO');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (124, 11438, 3389, 6, 5984, 2.23, 2.2, 2.34, 'Privada', 'Pontifícia Universidade Católica de Goiás', 'Faculdade', 17.06, 2.43, 16.63, 0.42, 'GO');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (116, 15639, 3024, 9, 24493, 3.53, 4.89, 3.19, 'Estadual', 'Universidade Estadual da Paraíba', 'Faculdade', 14.14, 1.58, 10.14, 1.25, 'PB');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (141, 18356, 3775, 9, 26553, 1.77, 2.36, 3.38, 'Privada', 'Universidade São Francisco', 'Universidade', 15.02, 0.29, 8.59, 2.52, 'SP');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (177, 17520, 3574, 13, 21249, 1.07, 2.24, 3.51, 'Privada', 'Universidade La Salle', 'Universidade', 12.56, 0.73, 5.39, 3.18, 'RS');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (149, 18131, 3150, 2, 19059, 1.27, 4.6, 1.83, 'Privada', 'Universidade Cruzeiro do Sul', 'Institutos Federais', 14.12, 0.12, 10.14, 2.81, 'SP');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (19, 14665, 3713, 1, 18652, 3.33, 3.25, 4.42, 'Estadual', 'Universidade do Estado de Mato Grosso', 'Universidade', 16.64, 1.97, 7.13, 1.42, 'MT');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (186, 19309, 3009, 2, 17727, 4.05, 1.51, 4.4, 'Privada', 'Universidade São Judas Tadeu', 'Escola de Governo', 18.51, 0.29, 14.44, 1.98, 'SP');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (160, 18680, 3733, 8, 20972, 2.59, 3.67, 2.26, 'Privada', 'Universidade Santa Cecília', 'Faculdade', 18.11, 2.88, 8.59, 2.44, 'SP');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (81, 16317, 3014, 14, 9545, 4.1, 3.5, 1.66, 'Privada', 'Universidade Salvador', 'Institutos Federais', 14.74, 1.15, 14.89, 2.61, 'BA');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (148, 19020, 3808, 15, 25474, 2.54, 2.12, 4.04, 'Estadual', 'Universidade Estadual de Mato Grosso do Sul', 'Universidade', 16.33, 2.41, 2.74, 1.67, 'MS');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (47, 19711, 3159, 14, 13536, 1.45, 2.34, 2.7, 'Privada', 'Universidade Anhembi Morumbi', 'Escola de Governo', 20.51, 0.48, 14.89, 0.47, 'SP');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (48, 16952, 3169, 10, 15015, 3.67, 4.97, 2.71, 'Federal', 'Universidade Federal do Recôncavo da Bahia', 'Escola de Governo', 14.7, 2.58, 4.02, 1.19, 'BA');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (13, 12856, 3593, 16, 19745, 1.64, 2.44, 1.01, 'Federal', 'Universidade Federal da Fronteira Sul', 'Faculdade', 19.66, 1.06, 2.01, 1.27, 'SC');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (17, 15091, 3140, 18, 5420, 3.92, 1.27, 4.53, 'Privada', 'Universidade Universus Veritas Guarulhos', 'Escola de Governo', 9.11, 1.85, 8.59, 3.28, 'SP');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (29, 14576, 3880, 3, 25639, 4.53, 3.23, 1.84, 'Estadual', 'Universidade Regional do Cariri', 'Faculdade', 12.64, 0.76, 5.39, 1.99, 'CE');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (28, 18465, 3898, 13, 7895, 1.18, 4.79, 4.98, 'Privada', 'Universidade da Região de Joinville', 'Escola de Governo', 16.21, 1.14, 11.42, 1.61, 'SC');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (50, 12406, 3838, 11, 18658, 1.88, 3.82, 2.29, 'Estadual', 'Universidade do Estado do Pará', 'Universidade', 10.22, 2.39, 11.42, 1.39, 'PA');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (4, 10166, 3546, 2, 16502, 2.0, 3.3, 4.55, 'Privada', 'Universidade do Vale do Taquari', 'Universidade', 12.46, 0.86, 4.02, 2.31, 'RS');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (140, 17710, 3232, 17, 26448, 2.14, 1.78, 3.57, 'Privada', 'Universidade do Oeste de Santa Catarina', 'Centro Universitário', 16.38, 1.09, 11.42, 0.95, 'SC');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (107, 19182, 3639, 14, 23726, 2.24, 3.06, 2.71, 'Privada', 'Universidade do Vale do Paraíba', 'Universidade', 10.26, 2.51, 4.02, 2.95, 'SP');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (46, 19727, 3395, 4, 24003, 2.63, 2.23, 1.06, 'Privada', 'Universidade Cidade de São Paulo', 'Escola de Governo', 9.53, 0.16, 10.14, 3.06, 'SP');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (156, 10422, 3843, 4, 14928, 1.75, 1.27, 3.7, 'Privada', 'Universidade de Santa Cruz do Sul', 'Institutos Federais', 10.84, 0.88, 8.59, 1.33, 'RS');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (93, 17013, 3903, 18, 18765, 1.04, 4.13, 2.8, 'Federal', 'Universidade Federal do Acre', 'Universidade', 13.98, 2.1, 2.01, 2.26, 'AC');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (175, 17905, 3051, 15, 18498, 1.36, 2.59, 1.11, 'Privada', 'Universidade Cesumar', 'Faculdade', 17.27, 0.26, 13.52, 1.38, 'PR');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (157, 14502, 3153, 7, 12724, 1.12, 1.73, 1.44, 'Estadual', 'Universidade Estadual do Piauí', 'Institutos Federais', 19.12, 0.39, 12.15, 0.57, 'PI');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (126, 19981, 3811, 11, 26909, 4.63, 3.9, 1.52, 'Privada', 'Universidade Pitágoras Unopar Anhanguera', 'Faculdade', 8.98, 1.59, 14.89, 1.52, 'PR');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (174, 19459, 3509, 1, 10652, 1.62, 3.95, 3.83, 'Federal', 'Universidade Federal Rural da Amazônia', 'Institutos Federais', 9.18, 2.78, 2.01, 1.69, 'PA');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (176, 13389, 3642, 5, 13423, 1.67, 3.68, 3.39, 'Estadual', 'Universidade Estadual de Goiás', 'Escola de Governo', 11.83, 2.35, 10.14, 0.92, 'GO');
